Features,Factor A,Factor B,Factor C,Factor D,Factor E,Communalities
contrast 0 mean,-0.3390102472866448,0.23094833293197767,-0.04462384192626911,-0.5678762930112273,-0.12572165147152647,0.5085457853305736
contrast 0 std,0.8916152928153387,0.09071969932371131,-0.23688128066174166,-0.003819796014867971,-0.038097275424170636,0.860786628591854
contrast 1 mean,0.6876208247765316,0.4233431743469742,-0.018518035257982252,-0.27337393416344485,-0.03078863336323801,0.7280660073867214
contrast 1 std,0.4759526167046724,0.6495556672334539,-0.16615826789125335,-0.20140419059141368,-0.04501972482260762,0.7186524517826296
contrast 2 mean,0.08313371045012695,0.7781759401481526,0.14152298371179095,-0.194553384722092,-0.01028216635059744,0.6704545050090382
contrast 2 std,0.19144255862984821,0.6463002299078463,-0.17615076503547136,-0.25947726833652535,0.034676652472310165,0.5539142554663302
contrast 3 mean,-0.2985103481771728,0.658661858541885,-0.01168660910390809,-0.037761132042892644,0.02142582619029055,0.5249654178201519
contrast 3 std,0.6137548392010324,-0.3061366636397977,-0.01781323848324896,0.4047909389180356,-0.12427742249495473,0.6500325529045871
contrast 4 mean,0.6418826656808168,0.14307770864853198,-0.23973901309060727,0.32707838196752687,-0.17814434574806084,0.6286750574837838
contrast 4 std,0.6651933374052886,0.23616124785913828,-0.06542905745333857,0.24795147764368386,-0.2349925753790162,0.6192367184269527
contrast 5 mean,0.44427394953476174,0.5816290755808536,-0.06256390768903917,0.10314522664894035,-0.18065141664654272,0.582859838458441
contrast 5 std,0.29814356096360517,0.5087667365787673,0.31820444083172167,0.17362614800333515,-0.16818771937946142,0.5074203895786369
contrast 6 mean,0.03868554927844845,0.6027653166072359,0.16137719207993745,-9.421235336226798e-05,-0.14848913611644818,0.41291422917177817
contrast 6 std,-0.041811730900534236,0.6465266894722435,-0.02771612543893035,0.014928263754909507,0.027132983483723283,0.42147221650164807
zrate mean,-0.3227002739069213,0.18008509862458646,-0.1890894644144789,0.7176419102924628,0.015955515254140375,0.687585424954024
zrate std,0.2912597142515969,-0.01847853142985386,-0.060605706110631805,0.6757271929565003,0.021109753339402192,0.5458995898698161
zrate skew,0.6820031311489724,-0.16023931041847062,0.07713169574934008,0.0870124242781674,0.10610538887058342,0.5155837215156996
tempo,-0.15417781277884549,-0.007957027923360484,0.20018104441857218,-0.0859491287298148,0.020673847993453284,0.07172122351142293
