,classifier,score,accuracy,recall,specificity,precision,FPR,FNR,CV-10 mean,CV-10 std,No Skill ROC AUC,Logistic ROC AUC,Precision-Recall AUC,F1
0,Decision Tree,1.0,1.0,1.0,1.0,1.0,0.0,0.0,100.0,0.0,0.5,1.0,1.0,1.0
1,Random Forest,1.0,1.0,1.0,1.0,1.0,0.0,0.0,91.20958751393535,10.136497204471224,0.5,1.0,1.0,1.0
2,Neural Net,1.0,1.0,1.0,1.0,1.0,0.0,0.0,99.95169082125604,0.1449275362318847,0.5,1.0,1.0,1.0
3,AdaBoost,1.0,1.0,1.0,1.0,1.0,0.0,0.0,100.0,0.0,0.5,1.0,1.0,1.0
4,Naive Bayes,1.0,1.0,1.0,1.0,1.0,0.0,0.0,100.0,0.0,0.5,1.0,1.0,1.0
5,QDA,1.0,1.0,1.0,1.0,1.0,0.0,0.0,99.90338164251207,0.19323671497584627,0.5,1.0,1.0,1.0
